Row,Record,Result,Reason
2,(unnamed),skipped,"Type ""undefined"" not in Asset Type Master; Category ""undefined"" not in Category Master; Current Site ""undefined"" not in Site Master"
3,(unnamed),skipped,"Type ""undefined"" not in Asset Type Master; Category ""undefined"" not in Category Master; Current Site ""undefined"" not in Site Master"
4,(unnamed),skipped,"Type ""undefined"" not in Asset Type Master; Category ""undefined"" not in Category Master; Current Site ""undefined"" not in Site Master"
5,(unnamed),skipped,"Type ""undefined"" not in Asset Type Master; Category ""undefined"" not in Category Master; Current Site ""undefined"" not in Site Master"
6,(unnamed),skipped,"Type ""undefined"" not in Asset Type Master; Category ""undefined"" not in Category Master; Current Site ""undefined"" not in Site Master"
7,(unnamed),skipped,"Type ""undefined"" not in Asset Type Master; Category ""undefined"" not in Category Master; Current Site ""undefined"" not in Site Master"
